School Id,Primary Domain,IG Followers (CD Output),Enrolled Students,# Products with 5 or more students enrolled,Custom Primary Domain,PO Business Email,Qt Admins,Has Student (All),Has Student (Currenty Active Only),Set Up,School is a High Importer,Final Category - All Students,Final Category - Currently Active Students,Final Category,Which Category
960025.0,thecriticalfewactions.teachable.com,,217,8,false,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1223686.0,the-rescue-train-s-school.teachable.com,,80,1,false,true,1,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1927253.0,carol-aguirre-s-school.teachable.com,,203,4,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
1932321.0,pescasustentable-s-school.teachable.com,,76,1,false,true,2,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
2022861.0,www.seriousgpssolutions.com,,214,4,true,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2040298.0,tanamsession.teachable.com,,129,1,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
2663400.0,naosbaltic.teachable.com,,102,1,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
522801.0,dogs-connect-mentorship.teachable.com,,8190,6,false,false,16,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
408700.0,curable.teachable.com,,960,1,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
632150.0,academy9online.teachable.com,,188,2,false,true,6,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
